id_vet,nombre,apellido,matricula,especialidad,sucursal,activo
V001,Gabriela,Fontana,VET-0041,Clínica General,Palermo,True
V002,Hernán,Castillo,VET-0078,Cirugía,Belgrano,True
V003,Cecilia,Ríos,VET-0112,Dermatología,Palermo,True
V004,Marcos,Aguirre,VET-0055,Odontología,Caballito,False
V005,Lorena,Ibáñez,VET-0089,Clínica General,Caballito,True
V006,Mateo,Bianchi,VET-0123,Cirugía,Recoleta,True
V007,Camila,Funes,VET-0145,Clínica General,Recoleta,True
V008,Lucas,Pereyra,VET-0167,Cardiología,Belgrano,True
V009,Renata,Suárez,VET-0189,Dermatología,Palermo,True
V010,Tomás,Vidal,VET-0201,Oncología,Recoleta,True
V011,Antonella,Costa,VET-0234,Clínica General,Caballito,True
V012,Javier,Romero,VET-0256,Cirugía,Belgrano,True
V013,Florencia,Méndez,VET-0278,Odontología,Recoleta,False
V014,Sebastián,Luna,VET-0290,Anestesiología,Palermo,True
V015,Micaela,Ríos,VET-0312,Clínica General,Núñez,True
